scientificName,clean_single_species_events,selected,epbc_listed,epbc_category,epbc_match_status,epbc_source_scientific_name,epbc_source_current_name
Cyclorana maini,51,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria nigrofrenata,48,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia subinsignifera,46,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Austrochaperina gracilipes,44,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus pictus,40,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus kunapalari,39,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes superciliaris,34,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia tyleri,31,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria citropa,30,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Platyplectrum spenceri,30,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Lechriodus fletcheri,29,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne occidentalis,29,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Austrochaperina adelphe,28,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia nimbus,26,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Anstisia rosea,25,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Heleioporus barycragus,25,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria lesueuri,24,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria microbelos,24,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria pallida,23,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana novaehollandiae,22,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria coplandi,22,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria watjulumensis,20,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia lithomoda,20,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia mimula,19,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia borealis,16,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia talpa,14,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria tornieri,13,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria bella,12,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Notaden bennettii,12,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Anstisia lutea,11,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus sutor,11,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Heleioporus psammophilus,10,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia russelli,10,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana cultripes,9,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia flindersensis,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana alboguttata,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria meiriana,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus wilsmorei,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia littlejohni,8,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana longipes,7,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Mixophyes schevilli,7,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus aquilonius,7,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria cavernicola,6,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Notaden nichollsi,5,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia mjobergii,5,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes lignarius,4,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria electrica,4,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria gilleni,4,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Arenophryne xiphorhyncha,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia riparia,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana maculosa,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana platycephala,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria aurifera,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria splendida,3,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Heleioporus inornatus,2,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria staccato,2,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana brevipes,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana occidentalis,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria eucnemis,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus albipes,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Neobatrachus pelobatoides,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Notaden melanoscaphus,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia trachyderma,1,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Assa darlingtoni,0,FALSE,TRUE,Vulnerable,exact_listed_name,Assa darlingtoni,NA
Cophixalus aenigma,0,FALSE,TRUE,Endangered,exact_listed_name,Cophixalus aenigma,NA
Cophixalus bombiens,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cophixalus exiguus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cophixalus hinchinbrookensis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cophixalus infacetus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cophixalus kulakula,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cophixalus saxatilis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Crinia sloanei,0,FALSE,TRUE,Endangered,exact_listed_name,Crinia sloanei,NA
Cyclorana cryptotis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana manya,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana vagitus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Cyclorana verrucosa,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Heleioporus australiacus,0,FALSE,NA,NA,unresolved_listed_subspecies_only,NA,NA
Limnodynastes depressus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Limnodynastes terraereginae,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria aurea,0,FALSE,TRUE,Vulnerable,exact_listed_name,Litoria aurea,Ranoidea aurea
Litoria booroolongensis,0,FALSE,TRUE,Endangered,exact_listed_name,Litoria booroolongensis,Rhyaconastes booroolongensis
Litoria brevipalmata,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria burrowsae,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria cooloolensis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria corbeni,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria daviesae,0,FALSE,TRUE,Vulnerable,exact_listed_name,Litoria daviesae,Dryopsophus daviesae
Litoria dayi,0,FALSE,TRUE,Vulnerable,exact_listed_name,Litoria dayi,Eremnoculus dayi
Litoria littlejohni,0,FALSE,TRUE,Endangered,exact_listed_name,Litoria littlejohni,Rawlinsonia littlejohni
Litoria nannotis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria olongburensis,0,FALSE,TRUE,Vulnerable,exact_listed_name,Litoria olongburensis,Drymomantis olongburensis
Litoria personata,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria raniformis,0,FALSE,TRUE,Vulnerable,exact_listed_name,Litoria raniformis,Ranoidea raniformis
Litoria rheocola,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Litoria subglandulosa,0,FALSE,TRUE,Vulnerable,exact_listed_name,Litoria subglandulosa,Dryopsophus subglandulosus
Litoria watsoni,0,FALSE,TRUE,Endangered,exact_listed_name,Litoria watsoni,Rawlinsonia watsoni
Mixophyes australis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
