scientificName,clean_single_species_events,selected,epbc_listed,epbc_category,epbc_match_status,epbc_listed_subordinate_taxa
Cyclorana verrucosa,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Heleioporus australiacus,0,FALSE,NA,NA,unresolved_listed_subspecies_only,Heleioporus australiacus australiacus; Heleioporus australiacus flavopunctatus
Limnodynastes depressus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Limnodynastes terraereginae,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria brevipalmata,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria burrowsae,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria cooloolensis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria corbeni,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria nannotis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria personata,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Litoria rheocola,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Mixophyes australis,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Neobatrachus fulvus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Notaden weigeli,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Philoria loveridgei,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne bibronii,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne dendyi,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne douglasi,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne major,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Pseudophryne robinsoni,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Taudactylus liemi,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia arenicola,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia aspera,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia glandulosa,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia micra,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia minima,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
Uperoleia stridera,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA
