scientificName,epbc_match_status,epbc_listed,epbc_category,conservation_group,selected_for_model,raw_occurrence_rows,clean_occurrence_rows,raw_events,raw_single_species_events,open_location_events,precision_eligible_events,no_generalization_events,clean_events,clean_single_species_events,retention_raw_to_clean_percent,retention_raw_single_to_clean_single_percent
Litoria meiriana,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,15,15,15,8,15,15,15,15,8,100,100
Litoria microbelos,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,275,265,275,24,271,265,271,265,24,96.36363636363636,100
Litoria moorei,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,7751,7669,7751,3618,7751,7669,7751,7669,3579,98.94207199071087,98.92205638474296
Litoria nannotis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1,0,1,1,0,0,0,0,0,0,0
Litoria nasuta,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,6369,6083,6369,828,6260,6083,6260,6083,813,95.50949913644214,98.18840579710145
Litoria nigrofrenata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,308,302,308,48,308,302,308,302,48,98.05194805194805,100
Litoria nudidigitus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2576,2510,2576,1106,2575,2510,2575,2510,1077,97.43788819875776,97.37793851717902
Litoria olongburensis,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,361,0,361,101,0,0,0,0,0,0,0
Litoria pallida,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,627,577,627,25,605,577,605,577,23,92.02551834130782,92
Litoria paraewingi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2592,1999,2592,514,2029,1999,2029,1999,505,77.12191358024691,98.24902723735408
Litoria pearsoniana,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,414,386,414,182,394,386,394,386,178,93.23671497584542,97.8021978021978
Litoria peronii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,66845,65080,66845,15046,66309,65080,66309,65080,14867,97.3595631685242,98.81031503389605
Litoria personata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2,2,2,0,2,2,2,2,0,100,NA
Litoria phyllochroa,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,5627,5087,5627,1529,5228,5087,5228,5087,1487,90.40341212013506,97.2531066056246
Litoria pyrina,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,15748,15333,15748,4627,15681,15333,15681,15333,4566,97.36474472948946,98.68165117786903
Litoria quiritatus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,TRUE,8908,8742,8908,4654,8879,8742,8879,8742,4579,98.13650651100134,98.38848302535453
Litoria raniformis,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,1156,0,1156,272,0,0,0,0,0,0,0
Litoria revelata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1197,1132,1197,166,1182,1132,1182,1132,161,94.56975772765246,96.98795180722891
Litoria rheocola,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,278,0,278,230,0,0,0,0,0,0,0
Litoria ridibunda,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,6175,5873,6175,1229,6117,5873,6117,5873,1180,95.10931174089069,96.01301871440195
Litoria rothii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2174,2113,2174,242,2172,2113,2172,2113,235,97.19411223551057,97.10743801652893
Litoria rubella,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,7371,7103,7371,1938,7361,7103,7361,7103,1866,96.36412969746303,96.28482972136223
Litoria serrata,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,301,256,301,86,269,256,269,256,79,85.04983388704319,91.86046511627907
Litoria sibilus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,152,148,152,106,152,148,152,148,104,97.36842105263158,98.11320754716981
Litoria spaldingi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,867,848,867,290,866,848,866,848,288,97.80853517877739,99.3103448275862
Litoria splendida,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,13,13,13,3,13,13,13,13,3,100,100
Litoria staccato,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,2,2,2,2,2,2,2,2,2,100,100
Litoria subglandulosa,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,46,0,46,28,0,0,0,0,0,0,0
Litoria tornieri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,979,923,979,13,961,923,961,923,13,94.27987742594485,100
Litoria tyleri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,15346,14706,15346,644,15241,14706,15241,14706,620,95.82953212563534,96.27329192546584
Litoria verreauxii,unresolved_listed_subspecies_only,NA,NA,not_confirmed_listed_or_unresolved,TRUE,24573,23916,24573,2377,24349,23916,24349,23916,2334,97.32633378097913,98.19099705511148
Litoria watjulumensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,64,63,64,20,64,63,64,63,20,98.4375,100
Litoria watsoni,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,39,0,39,15,0,0,0,0,0,0,0
Litoria wilcoxii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1058,993,1058,109,1007,993,1007,993,107,93.85633270321361,98.1651376146789
Litoria xanthomera,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,1911,1842,1911,788,1906,1842,1906,1842,771,96.38932496075353,97.84263959390863
Metacrinia nichollsi,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,158,154,158,147,158,154,158,154,145,97.46835443037975,98.63945578231292
Mixophyes australis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,65,0,65,28,0,0,0,0,0,0,0
Mixophyes balbus,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,108,0,108,58,0,0,0,0,0,0,0
Mixophyes carbinensis,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,136,97,136,57,98,97,98,97,57,71.32352941176471,100
Mixophyes coggeri,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,898,863,898,311,889,863,889,863,303,96.10244988864143,97.42765273311898
Mixophyes fasciolatus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,7535,7039,7535,1312,7343,7039,7343,7039,1260,93.41738553417386,96.03658536585365
Mixophyes fleayi,exact_listed_name,TRUE,Endangered,confirmed_EPBC_listed,FALSE,69,0,69,55,0,0,0,0,0,0,0
Mixophyes iteratus,exact_listed_name,TRUE,Vulnerable,confirmed_EPBC_listed,FALSE,698,0,698,86,0,0,0,0,0,0,0
Mixophyes schevilli,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,20,18,20,7,19,18,19,18,7,90,100
Myobatrachus gouldii,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,58,58,58,53,58,58,58,58,53,100,100
Neobatrachus albipes,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,17,17,17,1,17,17,17,17,1,100,100
Neobatrachus aquilonius,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,19,19,19,7,19,19,19,19,7,100,100
Neobatrachus fulvus,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,13,11,13,0,13,11,13,11,0,84.61538461538461,NA
Neobatrachus kunapalari,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,88,87,88,39,88,87,88,87,39,98.86363636363636,100
Neobatrachus pelobatoides,unmatched_to_official_threatened_list,NA,NA,not_confirmed_listed_or_unresolved,FALSE,11,11,11,1,11,11,11,11,1,100,100
