species_a,species_b,cooccurring_events,events_with_a,events_with_b,jaccard,percent_of_a,percent_of_b
Adelotus brevis,Litoria quiritatus,86,12091,4163,0.005319148936170213,0.7112728475725747,2.065817919769397
Litoria caerulea,Litoria verreauxii,61,15655,21582,0.0016408435549817087,0.3896518684126477,0.2826429431934019
Adelotus brevis,Limnodynastes tasmaniensis,53,12091,46652,9.030499233259499e-4,0.43834256885286577,0.11360713367058219
Crinia parinsignifera,Litoria quiritatus,40,28526,4163,0.0012251523783270543,0.14022295449765126,0.9608455440787893
Litoria gracilenta,Litoria verreauxii,32,11743,21582,9.611630072387589e-4,0.2725027676062335,0.14827170790473543
Litoria ewingii,Litoria quiritatus,22,19577,4163,9.275655620204064e-4,0.11237676865709761,0.5284650492433342
Limnodynastes dumerilii,Litoria caerulea,17,24066,15655,4.281684465041306e-4,0.07063907587467796,0.1085915043117215
Adelotus brevis,Limnodynastes dumerilii,11,12091,24066,3.0432136335970786e-4,0.0909767595732363,0.04570763733067398
Crinia signifera,Litoria pyrina,7,89084,10767,7.010937061816433e-5,0.007857752233846707,0.06501346707532274
Limnodynastes dumerilii,Litoria gracilenta,2,24066,11743,5.5855000418912504e-5,0.008310479514667997,0.017031422975389593
Litoria pyrina,Litoria verreauxii,2,10767,21582,6.182953596933255e-5,0.01857527630723507,0.009266981744045964
Adelotus brevis,Crinia georgiana,0,12091,7027,0,0,0
Adelotus brevis,Crinia glauerti,0,12091,11734,0,0,0
Crinia georgiana,Crinia parinsignifera,0,7027,28526,0,0,0
Crinia glauerti,Crinia parinsignifera,0,11734,28526,0,0,0
Crinia georgiana,Crinia signifera,0,7027,89084,0,0,0
Crinia glauerti,Crinia signifera,0,11734,89084,0,0,0
Crinia georgiana,Limnodynastes dumerilii,0,7027,24066,0,0,0
Crinia glauerti,Limnodynastes dumerilii,0,11734,24066,0,0,0
Crinia georgiana,Limnodynastes peronii,0,7027,62882,0,0,0
Crinia glauerti,Limnodynastes peronii,0,11734,62882,0,0,0
Crinia georgiana,Limnodynastes tasmaniensis,0,7027,46652,0,0,0
Crinia glauerti,Limnodynastes tasmaniensis,0,11734,46652,0,0,0
Crinia georgiana,Litoria caerulea,0,7027,15655,0,0,0
Crinia glauerti,Litoria caerulea,0,11734,15655,0,0,0
Adelotus brevis,Litoria ewingii,0,12091,19577,0,0,0
Crinia georgiana,Litoria ewingii,0,7027,19577,0,0,0
Crinia glauerti,Litoria ewingii,0,11734,19577,0,0,0
Litoria caerulea,Litoria ewingii,0,15655,19577,0,0,0
Crinia georgiana,Litoria fallax,0,7027,48745,0,0,0
Crinia glauerti,Litoria fallax,0,11734,48745,0,0,0
Crinia georgiana,Litoria gracilenta,0,7027,11743,0,0,0
Crinia glauerti,Litoria gracilenta,0,11734,11743,0,0,0
Litoria ewingii,Litoria gracilenta,0,19577,11743,0,0,0
Adelotus brevis,Litoria infrafrenata,0,12091,1446,0,0,0
Crinia georgiana,Litoria infrafrenata,0,7027,1446,0,0,0
Crinia glauerti,Litoria infrafrenata,0,11734,1446,0,0,0
Crinia parinsignifera,Litoria infrafrenata,0,28526,1446,0,0,0
Crinia signifera,Litoria infrafrenata,0,89084,1446,0,0,0
Limnodynastes dumerilii,Litoria infrafrenata,0,24066,1446,0,0,0
Limnodynastes tasmaniensis,Litoria infrafrenata,0,46652,1446,0,0,0
Litoria ewingii,Litoria infrafrenata,0,19577,1446,0,0,0
Adelotus brevis,Litoria moorei,0,12091,4090,0,0,0
Crinia parinsignifera,Litoria moorei,0,28526,4090,0,0,0
Crinia signifera,Litoria moorei,0,89084,4090,0,0,0
Limnodynastes dumerilii,Litoria moorei,0,24066,4090,0,0,0
Limnodynastes peronii,Litoria moorei,0,62882,4090,0,0,0
Limnodynastes tasmaniensis,Litoria moorei,0,46652,4090,0,0,0
Litoria caerulea,Litoria moorei,0,15655,4090,0,0,0
Litoria ewingii,Litoria moorei,0,19577,4090,0,0,0
Litoria fallax,Litoria moorei,0,48745,4090,0,0,0
Litoria gracilenta,Litoria moorei,0,11743,4090,0,0,0
Litoria infrafrenata,Litoria moorei,0,1446,4090,0,0,0
Crinia georgiana,Litoria peronii,0,7027,50213,0,0,0
Crinia glauerti,Litoria peronii,0,11734,50213,0,0,0
Litoria infrafrenata,Litoria peronii,0,1446,50213,0,0,0
Litoria moorei,Litoria peronii,0,4090,50213,0,0,0
Crinia georgiana,Litoria pyrina,0,7027,10767,0,0,0
Crinia glauerti,Litoria pyrina,0,11734,10767,0,0,0
Limnodynastes dumerilii,Litoria pyrina,0,24066,10767,0,0,0
Litoria ewingii,Litoria pyrina,0,19577,10767,0,0,0
Litoria moorei,Litoria pyrina,0,4090,10767,0,0,0
Crinia georgiana,Litoria quiritatus,0,7027,4163,0,0,0
Crinia glauerti,Litoria quiritatus,0,11734,4163,0,0,0
Litoria infrafrenata,Litoria quiritatus,0,1446,4163,0,0,0
Litoria moorei,Litoria quiritatus,0,4090,4163,0,0,0
Litoria pyrina,Litoria quiritatus,0,10767,4163,0,0,0
Crinia georgiana,Litoria verreauxii,0,7027,21582,0,0,0
Crinia glauerti,Litoria verreauxii,0,11734,21582,0,0,0
Litoria infrafrenata,Litoria verreauxii,0,1446,21582,0,0,0
Litoria moorei,Litoria verreauxii,0,4090,21582,0,0,0
