scope,count_type,reason,occurrence_rows,events,denominator_events,percent_events,stage_order,events_remaining,scope_overlap,occurrence_basis
not_confirmed_listed_or_unresolved,non_exclusive,nonfinite_or_missing_uncertainty,0,0,540647,0,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,obscured_geoprivacy,23532,8942,540647,1.653944255678844,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,not_open_geoprivacy,23532,8942,540647,1.653944255678844,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,generalised_location,23532,8942,540647,1.653944255678844,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,missing_generalization_flag,0,0,540647,0,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,invalid_coordinates,0,0,540647,0,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,invalid_dates,0,0,540647,0,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,non_exclusive,incomplete_species,0,0,540647,0,NA,NA,non_exclusive; mixed_taxon_events_overlap_scopes,direct_failing_source_rows_in_scope_events
not_confirmed_listed_or_unresolved,sequential,raw_events,0,0,540647,0,0,540647,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
not_confirmed_listed_or_unresolved,sequential,complete_species,0,0,540647,0,1,540647,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
not_confirmed_listed_or_unresolved,sequential,valid_coordinates,0,0,540647,0,2,540647,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
not_confirmed_listed_or_unresolved,sequential,positive_uncertainty_at_most_1000m,46658,21233,540647,3.9273315120587,3,519414,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
not_confirmed_listed_or_unresolved,sequential,open_geoprivacy,0,0,540647,0,4,519414,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
not_confirmed_listed_or_unresolved,sequential,no_data_generalization,0,0,540647,0,5,519414,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
not_confirmed_listed_or_unresolved,sequential,valid_event_date,0,0,540647,0,6,519414,non_exclusive; mixed_taxon_events_overlap_scopes,all_source_rows_of_events_excluded_at_this_stage
