"grid_size_degrees","scientificName","occupied_blocks","block_entropy_bits","effective_blocks","largest_block_share_percent","top_5_blocks_share_percent","median_events_per_occupied_block","events"
1,"Crinia glauerti",14,1.76835602681868,3.40665541824019,69.3272043460092,93.0909597436969,90.5,7179
1,"Adelotus brevis",22,3.20343989295698,9.21152419349262,19.8761158680998,76.1523046092184,50,5489
1,"Litoria quiritatus",17,2.48390088839876,5.59408001045876,34.2214457305088,93.2736405328674,40,4579
1,"Litoria pyrina",53,3.91213628288171,15.0546397759782,18.5282522996058,59.8116513359615,7,4566
1,"Litoria gracilenta",35,3.66941545355153,12.7234274589079,20.4871386296381,69.9066697017983,27,4393
1,"Crinia parinsignifera",78,5.05304502732995,33.198474097124,11.61603267807,37.9627265764616,17,3917
1,"Litoria moorei",26,2.24192848849848,4.73028952419477,40.8493992735401,93.7412685107572,10,3579
1,"Litoria verreauxii",42,4.43703328266049,21.6610801754788,13.0248500428449,48.7574978577549,26.5,2334
1,"Crinia georgiana",16,2.02135661807328,4.0596535632482,65.3828306264501,87.8422273781903,37,2155
1,"Litoria infrafrenata",13,1.34898068549133,2.54732084740974,78.2729805013928,95.5896007428041,21,2154
2,"Crinia signifera",42,3.69654230847748,12.9649281734648,26.9717601900932,65.6152897093767,367.5,87536
2,"Limnodynastes peronii",38,2.7938043620046,6.93456007692173,43.9101283246748,82.687269659429,93.5,45042
2,"Litoria fallax",27,2.80573118177196,6.99212599488543,37.2662281955962,82.613668859022,83,17485
2,"Litoria peronii",42,2.3017107674157,4.93042074831449,61.1017690186319,84.9801573955741,44.5,14867
2,"Limnodynastes tasmaniensis",70,4.20394296246153,18.4294736464086,17.3178624990133,57.8104033467519,27.5,12669
2,"Litoria caerulea",78,3.71537920111515,13.135317802891,24.8285875615068,67.2985399693474,7.5,12397
2,"Litoria ewingii",20,2.61879321819085,6.14236062976289,45.3183520599251,86.0460139111825,91,9345
2,"Limnodynastes dumerilii",37,3.46109002348055,11.0126519755023,31.9041450777202,71.2953367875648,41,7720
2,"Crinia glauerti",7,1.49886314674744,2.82619918336027,69.3272043460092,98.9274272182755,358,7179
2,"Adelotus brevis",11,1.71754953228408,3.2887732265579,57.678994352341,99.3805793404992,16,5489
2,"Litoria quiritatus",9,1.37759766598027,2.59835340366129,51.9764140642062,98.1873771565844,43,4579
2,"Litoria pyrina",24,2.75340967111702,6.74308914782875,40.3197547087166,85.8300481822164,20,4566
2,"Litoria gracilenta",15,2.2597239736571,4.78899846667577,53.3803778738903,91.0767129524243,51,4393
2,"Crinia parinsignifera",29,3.66619887822099,12.6950914126351,20.4748532039826,63.2116415624202,29,3917
2,"Litoria moorei",12,1.89402488356921,3.71670680211993,45.1802179379715,97.4573903324951,33.5,3579
2,"Litoria verreauxii",18,3.36454633217836,10.2998136620901,28.3204798628963,69.8371893744644,70,2334
2,"Crinia georgiana",9,1.75092535781298,3.36574378771229,65.3828306264501,96.3341067285383,84,2155
2,"Litoria infrafrenata",10,1.05800151912506,2.08204538771349,82.7298050139276,97.8180129990715,25.5,2154
